,grdc_no,wmo_reg,sub_reg,river,station,country,lat,long,area,altitude,d_start,d_end,d_yrs,d_miss,m_start,m_end,m_yrs,m_miss,t_start,t_end,t_yrs,lta_discharge,r_volume_yr,r_height_yr,shapefile_code,r2,NaNs
0,1159100,1,1591,ORANGE RIVER,VIOOLSDRIF (27811003),ZA,-28.75798997,17.72159144,866486,152,1935,2024,90,3.034414703,1935,2022,88,5.379442843,1935,2024,90,251.426,7.928970336,9.150719499,1,0.323815984,6
1,1159103,1,1591,ORANGE RIVER,PELLA MISSION,ZA,-28.96340283,19.15192169,859920,-999,1979,2024,46,5.668338021,1979,2022,44,8.7890625,1979,2024,46,132.007,4.162972752,4.841116327,1,0.335957072,1
2,1159105,1,1591,ORANGE RIVER,SENDELINGSDRIF,ZA,-28.07583333,16.89833333,985370,-999,2014,2024,11,21.41522029,2014,2020,7,0,2014,2024,11,30.913,0.974872368,0.989346507,1,0.018669058,27
3,1159125,1,1591,RENOSTERRIVIER,LEEUWENKUIL,ZA,-31.43716033,20.47416897,8938,-999,1987,2023,37,16.10259523,1987,2022,36,17.61904762,1987,2023,37,0.487,0.015358032,1.718285075,1,0.05641388,4
4,1159130,1,1591,SAK,HOL PADS LEEGTE (27814016),ZA,-30.47471203,20.51917583,40073,919,1973,2024,52,1.962666667,1973,2022,50,3.891708968,1973,2024,52,2.358,0.074361888,1.855660619,1,0.524582527,5
5,1159290,1,1591,ORANGE RIVER,KAKAMAS SOUTH NEUSBERG,ZA,-28.77466011,20.72242939,366070,-999,1993,2024,32,0.905539773,1993,2022,30,2.017291066,1993,2024,32,195.054,6.151222944,16.8034063,1,0.122617786,4
6,1159300,1,1591,ORANGE RIVER,UPINGTON,ZA,-28.45790547,21.23923533,364560,-999,1942,2024,83,2.478950723,1942,2022,81,4.079497908,1942,2024,83,188.521,5.945198256,16.30787321,1,0.212765637,1
7,1159301,1,1591,ORANGE RIVER,PRIESKA (27815102),ZA,-29.65171083,22.74591331,339310,947,1959,2024,66,6.892493906,1959,2022,64,11.7414248,1959,2024,66,163.363,5.151815568,15.18321172,1,0.056578487,0
8,1159302,1,1591,ORANGE RIVER,MARKSDRIFT (27815208),ZA,-29.16201978,23.69594394,99316,997,1962,2024,63,8.894209453,1962,2022,61,13.09192201,1962,2024,63,148.172,4.672752192,47.0493394,1,0.233319422,1
9,1159304,1,1591,ORANGE RIVER,IRENE,ZA,-29.1828515,23.57510692,296170,-999,1989,2024,36,29.84761312,1989,2022,34,36.75,1989,2024,36,226.36,7.13848896,24.102674,1,0.356823177,7
10,1159305,1,1591,SEEKOEIRIVIER,DE EERSTEPOORT,ZA,-30.53472222,24.9625,8266,-999,1980,2024,45,0.069191093,1980,2022,43,1.581027668,1980,2024,45,0.427,0.013465872,1.629067505,1,0.217409936,0
11,1159330,1,1591,RIET,KLIPDRIFT,ZA,-29.0425,24.59916667,31233,-999,1989,2024,36,0.094125029,1989,2022,34,0.253164557,1989,2024,36,7.378,0.232672608,7.449576025,2,0.45478299,0
12,1159335,1,1591,MODDER,TWEERIVIERE,ZA,-29.02861111,24.63833333,17313,-999,1989,2024,36,3.498977827,1989,2022,34,5.329949239,1989,2024,36,2.651,0.083601936,4.828853232,1,0.315505868,0
13,1159400,1,1591,HARTS,TAUNG (27817303),ZA,-27.57350603,24.74598156,11044,1091,1923,2024,102,1.826210205,1923,2022,100,3.797468354,1923,2024,102,1.182,0.037275552,3.375185802,1,0.328127179,1
14,1159403,1,1591,HARTS,ESPAGSDRIF,ZA,-27.90320789,24.61514311,23900,-999,1951,2023,73,3.355350066,1951,2022,72,8.079625293,1951,2023,73,4.754,0.149922144,6.272893054,1,0.054658294,1
15,1159405,1,1591,HARTS,LLOYDS,ZA,-28.38651139,24.29707622,30810,-999,1994,2024,31,14.04935502,1994,2022,29,21.45015106,1994,2024,31,1.291,0.040712976,1.321420837,1,0.367596352,1
16,1159413,1,1591,VETRIVIER,FIZANTKRAAL,ZA,-27.935,26.12444444,16153,-999,1968,2023,56,3.352428394,1968,2022,55,7.142857143,1968,2023,56,6.88,0.21696768,13.43203615,1,0.412781441,0
17,1159415,1,1591,VETRIVIER,VAALKOPPIES,ZA,-28.14444444,26.41805556,6994,-999,2003,2023,21,4.014396456,2003,2022,20,5.429864253,2003,2023,21,4.596,0.144939456,20.72339949,2,0.432414356,1
18,1159417,1,1591,SANDRIVIER,BLOUDRIF,ZA,-28.11722222,26.71916667,7092,-999,1995,2023,29,26.33427651,1995,2022,28,30.06329114,1995,2023,29,4.819,0.151971984,21.42864975,2,0.428968708,12
19,1159450,1,1591,VAAL RIVER,SCHMIDTSDRIF,ZA,-28.71149156,24.07290156,157830,-999,1995,2024,30,10.92603049,1995,2022,28,15.85365854,1995,2024,30,55.062,1.736435232,11.00193393,1,0.309870967,1
20,1159490,1,1591,VAAL RIVER,DE HOOP 65,ZA,-28.51622689,24.60069589,121220,-999,1968,2024,57,3.887082471,1968,2022,55,7.120743034,1968,2024,57,40.585,1.27988856,10.55839432,1,0.285184188,4
21,1159510,1,1591,VALSRIVIER,GROOTDRAAI (27817602),ZA,-27.39861111,26.61333333,7801,1259,1950,2023,74,65.6438253,1951,2022,72,67.60233918,1950,2023,74,1.002,0.031599072,4.050643764,1,0.357858636,5
22,1159525,1,1591,RENOSTERRIVIER,ARRIESRUST,ZA,-27.04628,27.00464,5758,-999,1978,2023,46,3.683862036,1978,2022,45,7.924528302,1978,2023,46,3.892,0.122738112,21.31610142,1,0.456759961,14
23,1159535,1,1591,VAAL RIVER,KLIPPLAATDRIFT,ZA,-27.38972222,26.46388889,79903,-999,1972,2024,53,0.326092673,1972,2022,51,0.663349917,1972,2024,53,68.375,2.156274,26.9861457,1,0.459827634,1
24,1159545,1,1591,VAAL RIVER,PILGRIMS ESTATE,ZA,-27.01011,26.69808,63437,-999,1979,2024,46,2.834453268,1979,2022,44,9.126213592,1979,2024,46,57.068,1.799696448,28.36982278,1,0.403714684,6
25,1159550,1,1591,VAAL RIVER,DE VAAL,ZA,-26.97056,27.20967,49120,-999,1938,2024,87,4.272957142,1938,2022,85,9.06374502,1938,2024,87,57.844,1.824168384,37.1369785,1,0.310041444,21
26,1159555,1,1591,VAAL RIVER,WOODLANDS,ZA,-26.73828,27.59197,47222,-999,1996,2024,29,11.46953405,1997,2022,26,20.26143791,1996,2024,29,59.906,1.889195616,40.00668366,1,0.352536963,1
27,1159650,1,1591,ORANGE RIVER,ALIWAL NOORD (27819103),ZA,-30.67833333,26.71638889,37070,1298,1914,2024,111,0.802377415,1914,2022,109,1.384615385,1914,2024,111,143.241,4.517248176,121.8572478,1,0.216981379,1
28,1159651,1,1591,ORANGE RIVER,ORANJEDRAAI (27819109),ZA,-30.33638889,27.35861111,24745,1394,1960,2024,65,2.486259018,1960,2022,63,7.432432432,1960,2024,65,125.312,3.951839232,159.7025351,1,0.213332109,0
29,1159655,1,1591,ORANGE RIVER,LESOTHO - MANTILANE,ZA,-30.06186111,28.50975,10735,-999,1987,2024,38,1.974465558,1987,2022,36,3.800475059,1987,2024,38,48.177,1.519309872,141.5286327,1,0.036301486,1
30,1159660,1,1591,KRAAIRIVIER,ROODEWAL (27819111),ZA,-30.83055556,26.92055556,8689,1320,1965,2024,60,5.12904894,1965,2022,58,9.278350515,1965,2024,60,21.834,0.688557024,79.24467994,1,0.250903069,0
31,1159675,1,1591,CALEDON RIVER,WILGERDRAAI,ZA,-29.61666667,27.06555556,12852,-999,1988,2024,37,6.158447734,1988,2022,35,10.69651741,1988,2024,37,32.182,1.014891552,78.96759664,1,0.152916002,0
32,1159805,1,1591,WILGERIVIER,FRANKFORT,ZA,-27.27166667,28.49111111,15673,-999,1913,2024,112,2.258376049,1913,2022,110,4.377880184,1913,2024,112,28.611,0.902276496,57.56884425,1,0.414477658,0
